Variable ,SUS Score (mean) ,SD ,Min ,Max ,1. Quartile ,Median ,3. Quartile ,Adjective Scale ,Grade Scale ,Quartile Scale ,Acceptability Scale ,NPS Scale,Industry Benchmark
Caso A,88.5,7.62,77.5,97.5,81.25,90.0,95.0,Best Imaginable,A,4th,Acceptable,Promoter,Above Industry Standard
Caso B,79.5,9.42,65.0,90.0,71.25,80.0,87.5,Good,A,4th,Acceptable,Promoter,Above Average
